Data,Hora,Ativo,Direcao,Valor,Resultado,P&L,P&L_Acumulado,Acertos_Consecutivos
2026-07-17,19:55:51,EURUSD=X,VENDA,1.0,LOSS,-1.0,-1.0,0
2026-07-17,19:58:04,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-2.0,0
2026-07-17,20:00:21,USDJPY=X,COMPRA,1.0,LOSS,-1.0,-3.0,0
2026-07-17,20:06:21,USDJPY=X,VENDA,1.0,LOSS,-1.0,-4.0,0
2026-07-17,22:08:29,EURUSD=X,COMPRA,1.0,LOSS,-1.0,-5.0,0
2026-07-17,22:11:00,EURUSD=X,COMPRA,1.0,LOSS,-1.0,-6.0,0
2026-07-17,22:14:33,GBPUSD=X,VENDA,1.0,LOSS,-1.0,-7.0,0
2026-07-17,22:24:36,EURUSD=X,COMPRA,1.0,LOSS,-1.0,-8.0,0
2026-07-17,22:43:34,GBPUSD=X,VENDA,1.0,LOSS,-1.0,-9.0,0
2026-07-17,22:52:17,GBPUSD=X,VENDA,1.0,LOSS,-1.0,-10.0,0
2026-07-18,09:41:29,EURUSD-OTC,VENDA,1.0,LOSS,-1.0,-11.0,0
2026-07-18,09:43:52,GBPUSD-OTC,VENDA,1.0,LOSS,-1.0,-12.0,0
2026-07-18,09:52:21,GBPUSD-OTC,COMPRA,1.0,WIN,0.8,-11.2,1
2026-07-18,11:39:39,GBPUSD-OTC,COMPRA,1.0,WIN,0.8,-10.399999999999999,1
2026-07-18,11:57:12,EURUSD-OTC,COMPRA,1.0,WIN,0.8,-9.599999999999998,2
2026-07-18,12:11:07,EURUSD-OTC,COMPRA,1.0,WIN,0.8,-8.799999999999997,3
2026-07-18,12:13:20,GBPUSD-OTC,COMPRA,1.0,WIN,0.8,-7.999999999999997,4
2026-07-18,12:37:01,GBPUSD-OTC,VENDA,1.0,LOSS,-1.0,-8.999999999999996,0
2026-07-18,12:47:49,GBPUSD-OTC,VENDA,1.0,WIN,0.8,-8.199999999999996,1
2026-07-18,14:03:28,GBPUSD-OTC,VENDA,1.0,WIN,0.8,-7.399999999999996,1
2026-07-18,14:27:57,EURUSD-OTC,VENDA,1.0,LOSS,-1.0,-8.399999999999995,0
2026-07-18,14:43:13,GBPUSD-OTC,COMPRA,1.0,WIN,0.8,-7.599999999999995,1
2026-07-18,15:02:16,EURUSD-OTC,COMPRA,1.0,LOSS,-1.0,-8.599999999999994,0
2026-07-18,15:07:06,GBPUSD-OTC,VENDA,1.0,WIN,0.8,-7.7999999999999945,1
2026-07-18,15:29:49,GBPUSD-OTC,VENDA,1.0,WIN,0.8,-6.999999999999995,2
2026-07-18,15:35:05,EURUSD-OTC,VENDA,1.0,WIN,0.8,-6.199999999999995,3
