Data,Hora,Ativo,Direcao,Valor,Resultado,P&L,P&L_Acumulado,Acertos_Consecutivos
2026-07-21,10:14:43,EURGBP=X,VENDA,1.0,WIN,0.8,0.8,1
2026-07-21,10:56:30,GBPUSD=X,VENDA,1.0,WIN,0.8,1.6,1
2026-07-21,11:08:45,USDCAD=X,COMPRA,1.0,WIN,0.8,2.4000000000000004,2
2026-07-21,12:31:19,EURGBP=X,VENDA,1.0,LOSS,-1.0,1.4000000000000004,0
2026-07-21,12:41:12,EURGBP=X,VENDA,1.0,WIN,0.8,2.2,1
2026-07-21,12:50:28,EURGBP=X,VENDA,1.0,WIN,0.8,3.0,2
2026-07-21,12:59:08,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,2.0,0
2026-07-21,13:08:05,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,1.0,0
2026-07-21,13:18:04,USDCAD=X,VENDA,1.0,LOSS,-1.0,0.0,0
2026-07-21,16:50:18,EURGBP=X,VENDA,1.0,LOSS,-1.0,-1.0,0
2026-07-22,11:01:22,AUDUSD=X,COMPRA,1.0,WIN,0.8,-0.19999999999999996,1
2026-07-22,11:10:02,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-1.2,0
2026-07-22,11:39:12,USDCAD=X,VENDA,1.0,WIN,0.8,-0.3999999999999999,1
2026-07-22,13:45:33,USDCAD=X,COMPRA,1.0,WIN,0.8,0.40000000000000013,2
2026-07-22,13:58:05,AUDUSD=X,COMPRA,1.0,LOSS,-1.0,-0.5999999999999999,0
2026-07-22,14:06:55,AUDUSD=X,COMPRA,1.0,WIN,0.8,0.20000000000000018,1
2026-07-23,13:38:21,USDJPY=X,COMPRA,1.0,LOSS,-1.0,-0.7999999999999998,0
2026-07-23,13:49:14,USDJPY=X,COMPRA,1.0,LOSS,-1.0,-1.7999999999999998,0
2026-07-23,13:56:54,AUDUSD=X,VENDA,1.0,LOSS,-1.0,-2.8,0
2026-07-23,14:23:42,EURUSD=X,COMPRA,1.0,WIN,0.8,-1.9999999999999998,1
2026-07-23,14:33:41,EURGBP=X,COMPRA,1.0,LOSS,-1.0,-3.0,0
2026-07-23,19:51:37,NZDUSD=X,COMPRA,1.0,LOSS,-1.0,-4.0,0
2026-07-23,20:02:32,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-5.0,0
2026-07-23,20:34:28,NZDUSD=X,COMPRA,1.0,WIN,0.8,-4.2,1
2026-07-23,21:06:55,AUDUSD=X,COMPRA,1.0,LOSS,-1.0,-5.2,0
2026-07-23,22:06:16,AUDUSD=X,COMPRA,1.0,LOSS,-1.0,-6.2,0
2026-07-23,22:33:30,EURGBP=X,COMPRA,1.0,LOSS,-1.0,-7.2,0
2026-07-24,13:31:39,USDJPY=X,COMPRA,1.0,LOSS,-1.0,-8.2,0
2026-07-24,13:38:42,EURJPY=X,VENDA,1.0,WIN,0.8,-7.3999999999999995,1
2026-07-24,13:46:48,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-8.399999999999999,0
2026-07-24,13:53:51,USDJPY=X,COMPRA,1.0,LOSS,-1.0,-9.399999999999999,0
2026-07-24,14:00:22,EURJPY=X,VENDA,1.0,LOSS,-1.0,-10.399999999999999,0
2026-07-24,14:32:22,EURJPY=X,VENDA,1.0,LOSS,-1.0,-11.399999999999999,0
2026-07-24,14:55:03,EURJPY=X,VENDA,1.0,LOSS,-1.0,-12.399999999999999,0
2026-07-24,15:06:18,EURJPY=X,COMPRA,1.0,LOSS,-1.0,-13.399999999999999,0
2026-07-24,15:43:02,EURGBP=X,COMPRA,1.0,LOSS,-1.0,-14.399999999999999,0
2026-07-24,15:51:06,AUDUSD=X,COMPRA,1.0,WIN,0.8,-13.599999999999998,1
2026-07-24,16:05:44,EURGBP=X,COMPRA,1.0,LOSS,-1.0,-14.599999999999998,0
2026-07-24,16:43:37,AUDUSD=X,COMPRA,1.0,LOSS,-1.0,-15.599999999999998,0
2026-07-24,16:50:39,EURJPY=X,VENDA,1.0,LOSS,-1.0,-16.599999999999998,0
2026-07-24,16:57:40,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-17.599999999999998,0
2026-07-24,21:42:41,NZDUSD=X,COMPRA,1.0,LOSS,-1.0,-18.599999999999998,0
2026-07-24,21:51:01,EURJPY=X,COMPRA,1.0,WIN,0.8,-17.799999999999997,1
2026-07-24,22:01:02,USDCAD=X,COMPRA,1.0,LOSS,-1.0,-18.799999999999997,0
2026-07-24,22:08:06,GBPUSD=X,COMPRA,1.0,LOSS,-1.0,-19.799999999999997,0
